"","var1","var2","correlation.x","correlation.y"
"75","systolicbp","age",0.359235630203051,0.350288987360314
"76","systolicbp","povertyratio",-0.0197078363665031,-0.0196131767288685
"77","systolicbp","diastolicbp",0.476323598217472,0.475766117382922
"78","systolicbp","poor",-0.00457573006235993,-0.00409934855033776
"79","systolicbp","educationL12",0.0535770785434632,0.0284790237443713
"80","systolicbp","rented",-0.0600696208731982,-0.0460582126371041
"81","systolicbp","notemployed",0.0307573117207319,0.0158968785049632
"82","systolicbp","crowded",-0.0299930762566476,-0.0119700040169399
"83","systolicbp","singlefamily",-0.0816321467265395,-0.0489227453848216
"84","systolicbp","visits",-0.033467907820961,-0.0328693386083035
"85","diastolicbp","female",-0.135653919876988,-0.107139049762695
"86","diastolicbp","systolicbp",0.476323598217472,0.475766117382922
"87","diastolicbp","poor",-0.031353819285007,-0.0181707380250554
"88","diastolicbp","educationL12",-0.0124159054762728,-0.00620451383983005
"89","diastolicbp","rented",-0.0365635090651232,-0.0285548030672274
"90","diastolicbp","notemployed",0.0198266902510629,0.0112339399748819
"91","diastolicbp","crowded",-0.0197182870277671,-0.00967322206282687
"92","diastolicbp","singlefamily",-0.0373897360830467,-0.0226864147034451
"93","diastolicbp","visits",-0.0424060720629121,-0.042314201507402
"94","poor","age",-0.122974186225518,-0.105180557961724
"95","poor","place",-0.0651417536284545,-0.0280130892556162
"96","poor","povertyratio",-0.581652899596282,-0.421897654861259
"97","poor","systolicbp",-0.00457573006235993,-0.00409934855033776
"98","poor","educationL12",0.217991709734921,0.164773877762517
"99","poor","rented",0.250743129624211,0.211607518089269
"100","poor","notemployed",0.328557198213461,0.286000192438252
"101","poor","crowded",0.196753400463734,0.151518005795373
"102","poor","singlefamily",0.156176672410567,0.111046043889967
"103","poor","visits",0.0351287946011121,0.0210169896138134
"104","educationL12","female",-0.0522909913985474,-0.0231301021860804
"105","educationL12","insurance",-0.148299651065044,-0.10457433531782
"106","educationL12","povertyratio",-0.257021569624691,-0.215397344260012
"107","educationL12","poor",0.217991709734921,0.164773877762517
"108","educationL12","rented",0.0847329586493316,0.0364613567176776
"109","educationL12","notemployed",0.134437289671098,0.0800456286497588
"110","educationL12","crowded",0.117822936739632,0.0677183017559903
"111","educationL12","singlefamily",0.072628213449335,0.0248420709078399
"112","educationL12","visits",-0.00286919024926775,-0.00213623787438427
"113","rented","age",-0.308451354581333,-0.268763599905361
"114","rented","female",-0.018527040027085,-0.0116651947571777
"115","rented","black",0.2364030433387,0.211893145429797
"116","rented","place",-0.122733028648911,-0.12438160717963
"117","rented","notemployed",0.0735438981109733,0.028670935846979
"118","rented","crowded",0.149976645763625,0.107386688429241
"119","rented","singlefamily",0.12139712300992,0.105197962744472
"120","rented","visits",-0.0308856081932999,-0.0236131703434128
"121","notemployed","insurance",-0.0508608415816966,-0.0182199132841524
"122","notemployed","systolicbp",0.0307573117207319,0.0158968785049632
"123","notemployed","educationL12",0.134437289671098,0.0800456286497588
"124","notemployed","rented",0.0735438981109733,0.028670935846979
"125","notemployed","crowded",0.037262083953091,0.00716741133185437
"126","notemployed","singlefamily",0.0370111738812816,0.0117884904399207
"127","notemployed","visits",0.0553641775052887,0.0266024702677201
"128","crowded","poor",0.196753400463734,0.151518005795373
"129","crowded","rented",0.149976645763626,0.107386688429241
"130","crowded","singlefamily",0.143411938007595,0.0993839801616742
"131","crowded","visits",-0.0107660082421699,-0.00471816755877849
"132","singlefamily","age",-0.185533524368,-0.161948877862824
"133","singlefamily","insurance",-0.0632110936398408,-0.0250937328878138
"134","singlefamily","povertyratio",-0.203624603687395,-0.182547019182205
"135","singlefamily","poor",0.156176672410567,0.111046043889967
"136","singlefamily","rented",0.12139712300992,0.105197962744472
"137","singlefamily","visits",-0.02363421548809,-0.0135158972775243
"138","visits","povertyratio",0.00659996829521362,0.00601671028463666
"139","visits","educationL12",-0.00286919024926775,-0.00213623787438427
"140","visits","singlefamily",-0.02363421548809,-0.0135158972775243
